Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","4.7uF","C_0402_1005Metric",229.350000,-89.400000,180.000000,top
"C2","10nF","C_0402_1005Metric",151.700000,-103.500000,0.000000,top
"C3","10nF","C_0402_1005Metric",153.700000,-103.500000,180.000000,top
"C4","10nF","C_0402_1005Metric",181.700000,-103.500000,0.000000,top
"C5","10nF","C_0402_1005Metric",183.700000,-103.500000,180.000000,top
"C6","10nF","C_0402_1005Metric",211.700000,-103.500000,0.000000,top
"C7","10nF","C_0402_1005Metric",213.700000,-103.500000,180.000000,top
"C8","10nF","C_0402_1005Metric",151.700000,-125.500000,0.000000,top
"C9","10nF","C_0402_1005Metric",153.700000,-125.500000,180.000000,top
"C10","10nF","C_0402_1005Metric",181.700000,-125.500000,0.000000,top
"C11","10nF","C_0402_1005Metric",183.700000,-125.500000,180.000000,top
"C12","10nF","C_0402_1005Metric",211.700000,-125.500000,0.000000,top
"C13","10nF","C_0402_1005Metric",213.700000,-125.500000,180.000000,top
"C14","100nF","C_0402_1005Metric",235.600000,-103.100000,0.000000,top
"C15","100nF","C_0402_1005Metric",227.100000,-102.000000,90.000000,top
"C16","100nF","C_0402_1005Metric",231.400000,-113.000000,90.000000,top
"C17","100nF","C_0402_1005Metric",226.000000,-110.500000,180.000000,top
"C18","4.7uF","C_0402_1005Metric",229.400000,-90.700000,180.000000,top
"D7","PWR_LED","LED_0603_1608Metric",235.800000,-100.000000,90.000000,top
"D8","STATUS_LED","LED_0603_1608Metric",234.200000,-100.000000,90.000000,top
"J1","USB_C_Receptacle_USB2.0","HRO_TYPE-C-31-M-12",225.200000,-82.100000,0.000000,top
"R1","10K","R_0402_1005Metric",147.700000,-103.500000,0.000000,top
"R2","10K","R_0402_1005Metric",157.700000,-103.500000,180.000000,top
"R3","10K","R_0402_1005Metric",177.710000,-103.500000,0.000000,top
"R4","10K","R_0402_1005Metric",187.700000,-103.500000,180.000000,top
"R5","10K","R_0402_1005Metric",161.000000,-90.000000,270.000000,top
"R6","10K","R_0402_1005Metric",149.700000,-103.500000,0.000000,top
"R7","10K","R_0402_1005Metric",155.700000,-103.500000,180.000000,top
"R8","10K","R_0402_1005Metric",179.700000,-103.500000,0.000000,top
"R9","10K","R_0402_1005Metric",185.700000,-103.500000,180.000000,top
"R10","5.1K","R_0402_1005Metric",226.700000,-89.200000,90.000000,top
"R11","5.1K","R_0402_1005Metric",223.700000,-89.200000,90.000000,top
"R12","1K","R_0402_1005Metric",164.000000,-95.600000,270.000000,top
"R13","1K","R_0402_1005Metric",194.000000,-95.600000,270.000000,top
"R14","10K","R_0402_1005Metric",207.700000,-103.500000,0.000000,top
"R15","10K","R_0402_1005Metric",217.700000,-103.500000,180.000000,top
"R16","10K","R_0402_1005Metric",147.700000,-125.500000,0.000000,top
"R17","10K","R_0402_1005Metric",157.700000,-125.500000,180.000000,top
"R18","10K","R_0402_1005Metric",209.700000,-103.500000,0.000000,top
"R19","10K","R_0402_1005Metric",215.700000,-103.500000,180.000000,top
"R20","10K","R_0402_1005Metric",149.700000,-125.500000,0.000000,top
"R21","10K","R_0402_1005Metric",155.700000,-125.500000,180.000000,top
"R22","1K","R_0402_1005Metric",224.500000,-96.300000,180.000000,top
"R23","1K","R_0402_1005Metric",164.000000,-117.600000,270.000000,top
"R24","10K","R_0402_1005Metric",177.700000,-125.500000,0.000000,top
"R25","10K","R_0402_1005Metric",187.700000,-125.500000,180.000000,top
"R26","10K","R_0402_1005Metric",207.700000,-125.500000,0.000000,top
"R27","10K","R_0402_1005Metric",217.700000,-125.500000,180.000000,top
"R28","10K","R_0402_1005Metric",179.700000,-125.500000,0.000000,top
"R29","10K","R_0402_1005Metric",185.700000,-125.500000,180.000000,top
"R30","10K","R_0402_1005Metric",209.700000,-125.500000,0.000000,top
"R31","10K","R_0402_1005Metric",215.700000,-125.500000,180.000000,top
"R32","1K","R_0402_1005Metric",194.000000,-117.600000,270.000000,top
"R33","1K","R_0402_1005Metric",224.000000,-117.700000,270.000000,top
"R34","1K","R_0402_1005Metric",235.800000,-97.400000,270.000000,top
"R35","1K","R_0402_1005Metric",234.200000,-97.400000,270.000000,top
"R36","10K","R_0402_1005Metric",225.600000,-102.800000,0.000000,top
"R37","10K","R_0402_1005Metric",221.100000,-110.500000,180.000000,top
"R38","10K","R_0402_1005Metric",221.000000,-93.100000,90.000000,top
"R39","10K","R_0402_1005Metric",161.000000,-112.000000,270.000000,top
"R40","10K","R_0402_1005Metric",191.000000,-89.500000,270.000000,top
"R41","10K","R_0402_1005Metric",191.000000,-111.500000,270.000000,top
"R42","10K","R_0402_1005Metric",221.100000,-111.600000,180.000000,top
"U1","AZ1117-3.3","SOT-223-3_TabPin2",234.000000,-91.500000,90.000000,top
"U2","STM32F072C8T6","LQFP-48_7x7mm_P0.5mm",230.800000,-106.800000,0.000000,top
